,選手名,選手名（英字）,前所属チーム,生年月日,所属チーム
5,篠原　弘次郎,Kojiro SHINOHARA,ヴァレンティアＦＣジュニア－ヴァレンティアＦＣＪｒユース－セレッソ大阪Ｕ－１５－セレッソ大阪Ｕ－１８－東福岡高－ファジアーノ岡山－ファジアーノ岡山ネクスト－ファジアーノ岡山－ファジアーノ岡山ネクスト－ファジアーノ岡山－ロアッソ熊本－ファジアーノ岡山－アビスパ福岡,1991/07/20,松本山雅ＦＣ
6,田中　パウロ淳一,Paulo Junichi TANAKA,米田ＳＣ－兵庫ＦＣ－兵庫ＦＣＪｒユース－サルパＦＣＪｒユース－大阪桐蔭高－川崎フロンターレ－ツエーゲン金沢－ＦＣ岐阜－レノファ山口ＦＣ,1993/10/23,松本山雅ＦＣ
7,河合　秀人,Shuto KAWAI,枚方サンクラブ－枚方第三中－京都橘高－大阪学院大－ガイナーレ鳥取－ＡＣ長野パルセイロ－ＦＣ琉球,1993/10/01,松本山雅ＦＣ
8,ルカオ,Lucas Marcos Meireles(LUCAO),アーセナル／ブラジル－マケドニア　ゴルチ／マケドニア共和国－レノヴァ／マケドニア共和国－アポロン　ラリッサＦＣ／ギリシャ－鹿児島ユナイテッドＦＣ－ツエーゲン金沢－鹿児島ユナイテッドＦＣ,1995/09/22,松本山雅ＦＣ
9,阪野　豊史,Toyofumi SAKANO,三郷Ｊｒユース－浦和レッズユース－明治大－浦和レッズ－栃木ＳＣ－浦和レッズ－愛媛ＦＣ－浦和レッズ－モンテディオ山形,1990/06/04,松本山雅ＦＣ
10,橋内　優也,Yuya HASHIUCHI,栗東西中－東海大第五高－サンフレッチェ広島－ガイナーレ鳥取－サンフレッチェ広島－徳島ヴォルティス－サンフレッチェ広島－徳島ヴォルティス,1987/07/13,松本山雅ＦＣ
11,鈴木　国友,Kunitomo SUZUKI,酒匂サッカースポーツ少年団－湘南ベルマーレＵ－１５小田原－相洋高－桐蔭横浜大－湘南ベルマーレ－ガイナーレ鳥取－湘南ベルマーレ－ギラヴァンツ北九州－湘南ベルマーレ,1995/07/03,松本山雅ＦＣ
12,村山　智彦,Tomohiko MURAYAMA,三井千葉ＳＣ－ジェフユナイテッド市原Ｊｒユース辰巳－市立船橋高－静岡産業大－ＳＡＧＡＷＡ　ＳＨＩＧＡ　ＦＣ－松本山雅ＦＣ－湘南ベルマーレ,1987/08/22,松本山雅ＦＣ
13,表原　玄太,Genta OMOTEHARA,阿南ＦＣＪｒユース－ヴィッセル神戸Ｕ－１８－愛媛ＦＣ－湘南ベルマーレ－徳島ヴォルティス－湘南ベルマーレ－徳島ヴォルティス,1996/02/28,松本山雅ＦＣ
14,戸島　章,Akira TOSHIMA,東鷲宮スポーツクラブ－成立ゼブラＦＣ－成立学園高－ジェフユナイテッド千葉－ジェフリザーブズ－ジェフユナイテッド千葉－藤枝ＭＹＦＣ－ジェフユナイテッド千葉－ＦＣ町田ゼルビア－ジェフユナイテッド千葉－ＦＣ町田ゼルビア－横浜ＦＣ－大宮アルディージャ－横浜ＦＣ,1991/10/04,松本山雅ＦＣ
15,浜崎　拓磨,Takuma HAMASAKI,摂津ＳＳ－摂津第三中－大阪学院大高－大阪学院大－ＦＣ大阪－水戸ホーリーホック－ベガルタ仙台,1993/02/17,松本山雅ＦＣ
16,ゴ　ドンミン,GOH Dong Min,大倫高／大韓民国－松本山雅ＦＣ－ヴァンラーレ八戸,1999/01/12,松本山雅ＦＣ
17,米原　秀亮,Shusuke YONEHARA,河江イレブン－ロアッソ熊本Ｊｒユース－ロアッソ熊本ユース－ロアッソ熊本,1998/04/20,松本山雅ＦＣ
18,外山　凌,Ryo TOYAMA,東京ヴェルディジュニア－東京ヴェルディＪｒユース－前橋育英高－阪南大－水戸ホーリーホック－ブラウブリッツ秋田－水戸ホーリーホック,1994/07/29,松本山雅ＦＣ
19,平川　怜,Rei HIRAKAWA,上ノ原ＳＣ－ＦＣ東京Ｕ－１５むさし－ＦＣ東京Ｕ－１８－ＦＣ東京－鹿児島ユナイテッドＦＣ－ＦＣ東京,2000/04/20,松本山雅ＦＣ
20,榎本　樹,Itsuki ENOMOTO,東松山ペレーニアジュニア－東松山ペレーニアＪｒユース－前橋育英高－松本山雅ＦＣ－ザスパクサツ群馬,2000/06/04,松本山雅ＦＣ
21,下川　陽太,Yota SHIMOKAWA,アスペガス生駒ＦＣ－アスペガスＦＣ－国見高－大阪商業大－松本山雅ＦＣ－愛媛ＦＣ－松本山雅ＦＣ－ツエーゲン金沢,1995/09/07,松本山雅ＦＣ
22,小手川　宏基,Koki KOTEGAWA,カティオーラＦＣ－大分トリニータＵ－１８－大分トリニータ－ギラヴァンツ北九州－大分トリニータ,1989/09/12,松本山雅ＦＣ
23,村越　凱光,Kaiga MURAKOSHI,エスポルチ藤沢－飯塚高,2001/10/07,松本山雅ＦＣ
24,山田　真夏斗,Manato YAMADA,ＳＡＧＡＷＡ　ＳＨＩＧＡ　ＦＯＯＴＢ－立正大淞南高,2001/05/31,松本山雅ＦＣ
25,横山　歩夢,Ayumu YOKOYAMA,ＦＣトッカーノＵ－１２－ＦＣトッカーノＵ－１５－東海大高輪台高,2003/03/04,松本山雅ＦＣ
26,大野　佑哉,Yuya ONO,レイソルS.S.青梅－AZ’86東京青梅－山梨学院大附属高－阪南大,1996/08/17,松本山雅ＦＣ
27,稲福　卓,Taku INAFUKU,アルティスタ東御ジュニア－アルティスタ東御Ｊｒユース－松本山雅ＦＣＵ－１８,2002/05/02,松本山雅ＦＣ
28,神田　渉馬,Shoma KANDA,南松本サッカースポーツ少年団－松本山雅ＦＣ　Ｕ－１５－松本山雅ＦＣＵ－１８,2002/07/09,松本山雅ＦＣ
29,宮部　大己,Taiki MIYABE,ＦＣ奈良－ＦＣ　ＣＯＪＢ　Ｊｒユース－法政大第二高－法政大,1998/10/16,松本山雅ＦＣ
30,佐藤　和弘,Kazuhiro SATO,北陵中－ジュビロ磐田ユース－中京大－ツエーゲン金沢－水戸ホーリーホック－ヴァンフォーレ甲府－大分トリニータ－松本山雅ＦＣ－大分トリニータ,1990/09/28,松本山雅ＦＣ
31,高木　利弥,Toshiya TAKAGI,ＦＣ東京Ｕ－１５深川－帝京高－神奈川大－モンテディオ山形－ジェフユナイテッド千葉－柏レイソル,1992/11/25,松本山雅ＦＣ
32,常田　克人,Masato TOKIDA,大宮ＦＣ七里－大宮ＦＣ－青森山田高－ベガルタ仙台－大分トリニータ－ベガルタ仙台－松本山雅ＦＣ－ベガルタ仙台,1997/11/27,松本山雅ＦＣ
33,野々村　鷹人,Takato NONOMURA,ＦＣ湖東－綾羽高－流通経済大,1998/05/13,松本山雅ＦＣ
34,山口　一真,Kazuma YAMAGUCHI,山梨学院大付属高－阪南大－鹿島アントラーズ－水戸ホーリーホック－鹿島アントラーズ,1996/01/17,松本山雅ＦＣ
0,小島　亨介,Ryosuke KOJIMA,下山ＦＣ－名古屋グランパス三好ＦＣ－名古屋グランパスＵ－１８－早稲田大－大分トリニータ－アルビレックス新潟－大分トリニータ,1997/01/30,アルビレックス新潟
1,岡本　將成,Shosei OKAMOTO,アルビレックス新潟Ｕ－１５－アルビレックス新潟Ｕ－１８－アルビレックス新潟－鹿児島ユナイテッドＦＣ,2000/04/07,アルビレックス新潟
2,舞行龍ジェームズ,Michael James FITZGERALD,成立学園高－アルビレックス新潟－ＪＡＰＡＮサッカーカレッジ－アルビレックス新潟－ツエーゲン金沢－アルビレックス新潟－ツエーゲン金沢－アルビレックス新潟－Ｖ・ファーレン長崎－アルビレックス新潟－Ｖ・ファーレン長崎－アルビレックス新潟－川崎フロンターレ,1988/09/17,アルビレックス新潟
3,秋山　裕紀,Hiroki AKIYAMA,前橋ＦＣ－前橋育英高－アルビレックス新潟－アスルクラロ沼津,2000/12/09,アルビレックス新潟
4,谷口　海斗,Kaito TANIGUCHI,海山ＦＣ－紀州エスフォルソ－四日市中央工高－岐阜経済大－いわてグルージャ盛岡－ロアッソ熊本,1995/09/07,アルビレックス新潟
5,高　宇洋,Takahiro KO,ＦＣ中原－川崎フロンターレＵ－１２－川崎フロンターレＵ－１５－市立船橋高－ガンバ大阪－レノファ山口ＦＣ－ガンバ大阪－レノファ山口ＦＣ－ガンバ大阪,1998/04/20,アルビレックス新潟
6,鈴木　孝司,Koji SUZUKI,初声ジュニアＦＣ－横浜Ｆ・マリノスＪｒユース追浜－桐光学園高－法政大－ＦＣ町田ゼルビア－ＦＣ琉球－セレッソ大阪,1989/07/25,アルビレックス新潟
7,本間　至恩,Shion HOMMA,アルビレックス新潟Ｕ－１５－アルビレックス新潟Ｕ－１８,2000/08/09,アルビレックス新潟
8,田中　達也,Tatsuya TANAKA,帝京高－浦和レッズ,1982/11/27,アルビレックス新潟
9,ゴンサロ　ゴンザレス,Gonzalo Federico Gonzalez Pereyra(GONZALO GONZALEZ),ダヌービオＦＣ／ウルグアイ－アルセナル　デ　サラン／アルゼンチン－アポロン　スミルニＦＣ／ギリシャ－ＣＡフベントゥ／ウルグアイ,1993/10/07,アルビレックス新潟
10,福田　晃斗,Akito FUKUTA,名古屋グランパスＵ１５－四日市中央工高－鹿屋体育大－サガン鳥栖－湘南ベルマーレ,1992/05/01,アルビレックス新潟
11,星　雄次,Yuji HOSHI,つくし野サッカースポーツ少年団－横浜Ｆ・マリノスＪｒユース－横浜Ｆ・マリノスユース－法政大－福島ユナイテッドＦＣ－レノファ山口ＦＣ－大分トリニータ,1992/07/27,アルビレックス新潟
12,島田　譲,Yuzuru SHIMADA,新荘常磐ＳＳＳ－鹿島アントラーズＪｒユース－鹿島アントラーズユース－早稲田大－ファジアーノ岡山－Ｖ・ファーレン長崎－アルビレックス新潟－Ｖ・ファーレン長崎,1990/11/28,アルビレックス新潟
13,阿部　航斗,Koto ABE,アルビレックス新潟Ｊｒユース－アルビレックス新潟Ｕ－１８－筑波大,1997/08/01,アルビレックス新潟
14,瀬口　拓弥,Takuya SEGUCHI,中洲ＪＳＣ－ハジャスＦＣ－笠岡工高－流通経済大－クラブ　ドラゴンズ－流通経済大－カマタマーレ讃岐－徳島ヴォルティス,1988/11/30,アルビレックス新潟
15,小見　洋太,Yota KOMI,ＦＣリアン－ＦＣ　ＬＡＶＩＤＡ－昌平高,2002/08/11,アルビレックス新潟
16,ロメロ　フランク,Frank ROMERO,江陽中－青森山田高－流通経済大－水戸ホーリーホック－モンテディオ山形－アルビレックス新潟－水戸ホーリーホック－アルビレックス新潟－ＦＣ町田ゼルビア,1987/08/19,アルビレックス新潟
17,藤原　奏哉,Soya FUJIWARA,レオーネ山口Ｕ－１２－レオーネ山口Ｕ－１５－ルーテル学院高－阪南大－ギラヴァンツ北九州,1995/09/09,アルビレックス新潟
18,遠藤　凌,Ryo ENDO,飯能ジュニアＳＳＳ－坂戸ディプロマッツＦＣ－浦和レッズユース－桐蔭横浜大,1998/07/06,アルビレックス新潟
19,大本　祐槻,Yuki OMOTO,ＦＣ湖東－野洲高－阪南大－ＦＣ岐阜－徳島ヴォルティス－Ｖ・ファーレン長崎,1994/09/24,アルビレックス新潟
20,早川　史哉,Fumiya HAYAKAWA,アルビレックス新潟Ｊｒユース－アルビレックス新潟ユース－筑波大,1994/01/12,アルビレックス新潟
21,丸山　嵩大,Shuto MARUYAMA,アルビレックス新潟Ｕ－１５,2004/08/16,アルビレックス新潟
22,堀米　悠斗,Yuto HORIGOME,コンサドーレ札幌Ｕ－１２－コンサドーレ札幌Ｕ－１５－コンサドーレ札幌Ｕ－１８－コンサドーレ札幌－福島ユナイテッドＦＣ－北海道コンサドーレ札幌,1994/09/09,アルビレックス新潟
23,長谷川　巧,Takumi HASEGAWA,アルビレックス新潟Ｊｒユース－アルビレックス新潟Ｕ－１８－アルビレックス新潟－ザスパクサツ群馬－アルビレックス新潟－ツエーゲン金沢,1998/10/06,アルビレックス新潟
24,高木　善朗,Yoshiaki TAKAGI,あざみ野Ｆ．Ｃ．－東京ヴェルディ１９６９Ｊｒユース－東京ヴェルディユース－東京ヴェルディ－ＦＣユトレヒト／オランダ－清水エスパルス－東京ヴェルディ－清水エスパルス－東京ヴェルディ－清水エスパルス－東京ヴェルディ,1992/12/09,アルビレックス新潟
25,千葉　和彦,Kazuhiko CHIBA,日生学園第二高－ＡＧＯＶＶアプルドーレン／オランダ－ドートレヒト／オランダ－アルビレックス新潟－サンフレッチェ広島－名古屋グランパス,1985/06/21,アルビレックス新潟
26,三戸　舜介,Shunsuke MITO,原サッカースポーツ少年団－ＪＦＡアカデミー福島Ｕ－１５－ＪＦＡアカデミー福島Ｕ－１８,2002/09/28,アルビレックス新潟
27,矢村　健,Ken YAMURA,市立船橋高－新潟医療福祉大,1997/06/09,アルビレックス新潟
28,藤田　和輝,Kazuki FUJITA,アルビレックス新潟Ｕ－１５－アルビレックス新潟Ｕ－１８,2001/02/19,アルビレックス新潟
29,田上　大地,Daichi TAGAMI,流通経済大付属柏高－流通経済大－Ｖ・ファーレン長崎－柏レイソル－アルビレックス新潟－柏レイソル,1993/06/16,アルビレックス新潟
0,後藤　雅明,Masaaki GOTO,小手指サッカースポーツ少年団－プレジールＳＣ入間－國學院久我山高－早稲田大－湘南ベルマーレ－ツエーゲン金沢－湘南ベルマーレ,1994/05/24,ツエーゲン金沢
1,作田　裕次,Yuji SAKUDA,松南サッカースポーツ少年団－松任中－星稜高－筑波大－水戸ホーリーホック－大分トリニータ－モンテディオ山形,1987/12/04,ツエーゲン金沢
2,石尾　崚雅,Ryoga ISHIO,志紀Ｆ．Ｃ－セレッソ大阪Ｕ－１５－セレッソ大阪Ｕ－１８,2000/05/18,ツエーゲン金沢
3,松田　陸,Riku MATSUDA,美土里ＳＣ－前橋ＦＣ－前橋育英高－ガンバ大阪,1999/05/03,ツエーゲン金沢
4,大橋　尚志,Hisashi OHASHI,鹿島アントラーズつくばＪｒユース－鹿島アントラーズユース－鹿島アントラーズ,1996/12/01,ツエーゲン金沢
5,嶋田　慎太郎,Shintaro SHIMADA,ＦＣビッグウェーブ－ロアッソ熊本Ｊｒユース－ロアッソ熊本ユース－ロアッソ熊本－大宮アルディージャ－大分トリニータ－大宮アルディージャ,1995/12/05,ツエーゲン金沢
6,藤村　慶太,Keita FUJIMURA,ＦＣ手代森－ＳＳＣヴェローチェ盛岡Ｊｒユース－盛岡商高－ベガルタ仙台－ツエーゲン金沢－ベガルタ仙台,1993/09/02,ツエーゲン金沢
7,丹羽　詩温,Shion NIWA,城南中－大阪桐蔭高－明治大－愛媛ＦＣ,1994/06/18,ツエーゲン金沢
8,瀬沼　優司,Yuji SENUMA,上南ＳＣ－上溝南中－桐光学園高－筑波大－清水エスパルス－栃木ＳＣ－清水エスパルス－愛媛ＦＣ－清水エスパルス－愛媛ＦＣ－清水エスパルス－モンテディオ山形－清水エスパルス－モンテディオ山形－横浜ＦＣ,1990/09/01,ツエーゲン金沢
9,杉浦　恭平,Kyohei SUGIURA,聖隷ＪＦＣ－ＦＣ雄踏－静岡学園高－川崎フロンターレ－愛媛ＦＣ－川崎フロンターレ－愛媛ＦＣ－川崎フロンターレ－ヴィッセル神戸－川崎フロンターレ－ヴィッセル神戸－ベガルタ仙台,1989/01/11,ツエーゲン金沢
10,大石　竜平,Ryuhei OISHI,ジュビロ磐田Ｕ－１５－清水桜が丘高－国士舘大,1997/01/21,ツエーゲン金沢
11,金子　昌広,Masahiro KANEKO,柳瀬レッドローズジュニア－所沢ＪｒユースＳＣ－正智深谷高－国士舘大－ヴァンフォーレ甲府－ツエーゲン金沢－ヴァンフォーレ甲府,1991/02/02,ツエーゲン金沢
12,渡邊　泰基,Taiki WATANABE,アルビレックス新潟Ｕ－１５－前橋育英高－アルビレックス新潟－ツエーゲン金沢－アルビレックス新潟,1999/04/22,ツエーゲン金沢
13,本塚　聖也,Toshiya MOTOZUKA,北海道コンサドーレ札幌Ｕ－１５－北海道コンサドーレ札幌Ｕ－１８－金沢星稜大,1997/05/20,ツエーゲン金沢
14,窪田　稜,Ryo KUBOTA,フッチＳＣ－成立学園高,2001/01/05,ツエーゲン金沢
15,島津　頼盛,Raisei SHIMAZU,セレッソ大阪Ｕ－１５－興国高,1999/04/07,ツエーゲン金沢
16,石井　綾,Ryo ISHII,名古屋グランパスＵ１５－名古屋グランパスＵ１８－中京大－水戸ホーリーホック－アスルクラロ沼津－水戸ホーリーホック－福島ユナイテッドＦＣ－水戸ホーリーホック－ＦＣ琉球－水戸ホーリーホック－ツエーゲン金沢,1993/06/24,ツエーゲン金沢
17,力安　祥伍,Shogo RIKIYASU,サンフレッチェ広島Ｊｒユース－サンフレッチェ広島ユース－明治大,1998/08/22,ツエーゲン金沢
18,白井　裕人,Yuto SHIRAI,柏イーグルス－流通経済大付属柏高－流通経済大－クラブ　ドラゴンズ－流通経済大－流通経済大ＦＣ－流通経済大－松本山雅ＦＣ,1988/06/19,ツエーゲン金沢
19,片倉　誠也,Seiya KATAKURA,ＦＣアネーロ宇都宮Ｕ－１５－鹿島学園高－城西大,1998/12/05,ツエーゲン金沢
20,高安　孝幸,Takayuki TAKAYASU,安岡中－興國高,2001/09/25,ツエーゲン金沢
21,田路　耀介,Yosuke TOJI,セレッソ大阪Ｕ－１５－興國高,2001/04/08,ツエーゲン金沢
22,廣井　友信,Tomonobu HIROI,程久保ＳＣ－ＦＣ杉野－前橋育英高－駒澤大－清水エスパルス－東京ヴェルディ－清水エスパルス－ロアッソ熊本－清水エスパルス－ロアッソ熊本－清水エスパルス,1985/01/11,ツエーゲン金沢
23,ホドルフォ,RODOLFO Tito De Moraes,メトロポリターノ／ブラジル－アトレチコ　イタぺミリム／ブラジル－ボア　エスポルチ／ブラジル－メトロポリターノ／ブラジル－モンテディオ山形－メトロポリターノ／ブラジル－ツエーゲン金沢－メトロポリターノ／ブラジル,1997/03/05,ツエーゲン金沢
24,大谷　駿斗,Hayato OTANI,旭丘サッカースポーツ少年団－松任ＦＣ Ｊｒユース－エスポワール白山ＦＣＪｒユース－松任高－金沢学院大－カターレ富山,1997/01/17,ツエーゲン金沢
25,上田　樹,Itsuki UEDA,内灘ＦＣ－ツエーゲン金沢Ｕ－１５－ツエーゲン金沢Ｕ－１８,2001/06/28,ツエーゲン金沢
26,杉浦　力斗,Rikito SUGIURA,ＩＲＩＳ生野Ｕ－１５－興国高,2002/10/22,ツエーゲン金沢
27,稲葉　楽,Gaku INABA,セレッソ大阪Ｕ－１５－藤枝東高,2002/04/27,ツエーゲン金沢
28,庄司　朋乃也,Honoya SHOJI,クマガヤＳＣ－セレッソ大阪Ｕ－１８－セレッソ大阪－ツエーゲン金沢－セレッソ大阪－ツエーゲン金沢－セレッソ大阪－大分トリニータ－セレッソ大阪－Ｖ・ファーレン長崎－セレッソ大阪,1997/10/08,ツエーゲン金沢
0,八田　直樹,Naoki HATTA,港中－ジュビロ磐田ユース,1986/06/24,ジュビロ磐田
1,今野　泰幸,Yasuyuki KONNO,上野山ＦＣ－山田中－東北高－コンサドーレ札幌－ＦＣ東京－ガンバ大阪,1983/01/25,ジュビロ磐田
2,大井　健太郎,Kentaro OI,高洲南スポーツ少年団－ＡＣＭブルックスＪｒユース－藤枝東高－ジュビロ磐田－湘南ベルマーレ－ジュビロ磐田－アルビレックス新潟,1984/05/14,ジュビロ磐田
3,大津　祐樹,Yuki OTSU,鹿島アントラーズノルテＪｒユース－成立学園高－柏レイソル－ボルシアＭＧ／ドイツ－ＶＶＶフェンロ／オランダ－柏レイソル－横浜Ｆ・マリノス,1990/03/24,ジュビロ磐田
4,小川　大貴,Daiki OGAWA,ＡＣＮジュビロ沼津－ジュビロ磐田ユース－明治大,1991/10/16,ジュビロ磐田
5,大森　晃太郎,Kotaro OMORI,大阪セントラルＦＣ－ガンバ大阪Ｊｒユース－ガンバ大阪ユース－ガンバ大阪－ヴィッセル神戸－ＦＣ東京,1992/04/28,ジュビロ磐田
6,小川　航基,Koki OGAWA,大豆戸ＦＣ－桐光学園高－ジュビロ磐田－水戸ホーリーホック,1997/08/08,ジュビロ磐田
7,山田　大記,Hiroki YAMADA,ヤマハジュビロSS浜松－ヤマハジュビロ浜北ＳＳ－藤枝東高－明治大－ジュビロ磐田－カールスルーエＳＣ／ドイツ,1988/12/27,ジュビロ磐田
8,ルキアン,LUKIAN Araujo de Almeida,ノヴァ　イグアスＦＣ／ブラジル－リオ　ブランコＥＣ／ブラジル－ノヴァ　イグアスＦＣ／ブラジル－サンタクルスＦＣ／ブラジル－ルヴェルデンセＥＣ／ブラジル－富川ＦＣ１９９５／大韓民国－釜山アイパーク／大韓民国－ＦＣ安養／大韓民国－パタヤユナイテッド／タイ－チョンブリＦＣ／タイ,1991/09/21,ジュビロ磐田
9,藤川　虎太朗,Kotaro FUJIKAWA,サガン鳥栖Ｕ－１５－東福岡高,1998/07/24,ジュビロ磐田
10,松本　昌也,Masaya MATSUMOTO,和田ＳＣ－ＦＣ中津１９８１－ＪＦＡアカデミー福島－大分トリニータ,1995/01/25,ジュビロ磐田
11,伊藤　洋輝,Hiroki ITO,ジュビロ磐田Ｕ－１５－ジュビロ磐田Ｕ－１８－ジュビロ磐田－名古屋グランパス,1999/05/12,ジュビロ磐田
12,鈴木　雄斗,Yuto SUZUKI,大分トリニータＵ－１２－柏レイソルＵ－１２－柏レイソルＵ－１５－横浜Ｆ・マリノスＪｒユース－横浜Ｆ・マリノスユース－水戸ホーリーホック－モンテディオ山形－川崎フロンターレ－ガンバ大阪－川崎フロンターレ－松本山雅ＦＣ－川崎フロンターレ,1993/12/07,ジュビロ磐田
13,三木　直土,Naoto MIKI,FCアヴェニーダソル－ジュビロ磐田Ｕ－１８,2001/05/08,ジュビロ磐田
14,杉本　大地,Daichi SUGIMOTO,ヤマハジュビロ浜松－京都サンガF.C.Ｕ－１８－京都サンガF.C.－徳島ヴォルティス－京都サンガF.C.－横浜Ｆ・マリノス,1993/07/15,ジュビロ磐田
15,中川　創,So NAKAGAWA,福栄ＦＣ－柏レイソルＵ－１５－柏レイソルＵ－１８－柏レイソル－ＳＣ相模原－柏レイソル,1999/06/01,ジュビロ磐田
16,山本　康裕,Kosuke YAMAMOTO,ヤマハジュビロＳＳ浜北－ジュビロ磐田ユース－ジュビロ磐田－アルビレックス新潟－ジュビロ磐田－アルビレックス新潟,1989/10/29,ジュビロ磐田
17,森岡　陸,Riku MORIOKA,ジュビロ磐田Ｕ－１５－ジュビロ磐田Ｕ－１８－法政大,1998/11/20,ジュビロ磐田
18,吉長　真優,Mahiro YOSHINAGA,ＦＣ府中－成立学園高,2002/03/20,ジュビロ磐田
19,鹿沼　直生,Naoki KANUMA,グランデＦＣ－静岡学園高－専修大－ＳＣ相模原,1997/12/07,ジュビロ磐田
20,ファビアン　ゴンザレス,Fabian Andres Gonzalez Lasso(FABIAN GONZALEZ),デポルティボ　パスト／コロンビア－ラ　エキダ／コロンビア－スポーツアンカシュ／ペルー－アヤクーチョＦＣ／ペルー－アカデミア　カントラオ／ペルー－ミジョナリオス／コロンビア－アトレティコ　ナシオナル／コロンビア,1992/11/23,ジュビロ磐田
21,清田　奈央弥,Naoya SEITA,横浜Ｆ・マリノスＪｒユース－ジュビロ磐田Ｕ－１８,2001/08/25,ジュビロ磐田
22,鈴木　海音,Kaito SUZUKI,ジュビロ磐田Ｕ－１５－ジュビロ磐田Ｕ－１８,2002/08/25,ジュビロ磐田
23,三浦　龍輝,Ryuki MIURA,町田ＪＦＣジュニア－町田ＪＦＣ－ＦＣ東京Ｕ－１８－明治大－柏レイソル－ＡＣ長野パルセイロ,1992/05/17,ジュビロ磐田
24,アレクセイ　コシェレフ,ALEXEI KOSELEV,ＣＦガガウジヤ　コムラット／モルドバ－ＦＣダチア　ブユカニ／モルドバ－ＦＣスファンツル　ゲオルヘ／モルドバ－ＦＣクバン　クラスノダー／ロシア連邦－ＦＣサクサン／モルドバ－ＦＣティラスポリ／モルドバ－ＦＣシェリフ　ティラスポリ／モルドバ－ＣＳＭポリテフニカ　ヤシ／ルーマニア－フォルトナ　シッタート／オランダ,1993/11/19,ジュビロ磐田
25,山本　義道,Norimichi YAMAMOTO,ＦＣ　ＮＥＯ－作陽高－びわこ成蹊スポーツ大－ツエーゲン金沢－横浜Ｆ・マリノス－ジュビロ磐田－横浜Ｆ・マリノス,1995/07/25,ジュビロ磐田
26,加藤　智陽,Chiharu KATO,西武台高－専修大－ロッチデール　ローバ／オーストラリア－ＡＣカヤーニ／フィンランド,1996/04/11,ジュビロ磐田
27,大武　峻,Shun OBU,筑陽学園中－筑陽学園高－福岡大－名古屋グランパス－アルビレックス新潟,1992/11/24,ジュビロ磐田
28,遠藤　保仁,Yasuhito ENDO,桜島中－鹿児島実業高－横浜フリューゲルス－京都パープルサンガ－ガンバ大阪－ジュビロ磐田－ガンバ大阪,1980/01/28,ジュビロ磐田
0,福島　春樹,Haruki FUKUSHIMA,瀬戸ＮＦＣ－カワムラＦＣ－静岡学園高－専修大－浦和レッズ－ガイナーレ鳥取－浦和レッズ,1993/04/08,京都サンガF.C.
1,飯田　貴敬,Takahiro IIDA,真壁ジュニオール－下館西中－野洲高－専修大－清水エスパルス,1994/08/31,京都サンガF.C.
2,木村　誠二,Seiji KIMURA,市川ＦＣ－ＦＣ東京Ｕ－１５深川－ＦＣ東京Ｕ－１８－ＦＣ東京,2001/08/24,京都サンガF.C.
3,松田　天馬,Temma MATSUDA,熊本ユナイテッドＳＣ　Ｕ－１２－熊本ユナイテッドＳＣ　Ｕ－１５－東福岡高－鹿屋体育大－湘南ベルマーレ,1995/06/11,京都サンガF.C.
4,黒木　恭平,Kyohei KUROKI,大津中－専修大玉名高－福岡大－サガン鳥栖－愛媛ＦＣ－サガン鳥栖－ヴェルスパ大分－レノファ山口ＦＣ－大分トリニータ－鹿児島ユナイテッドＦＣ－京都サンガF.C.－鹿児島ユナイテッドＦＣ,1989/07/31,京都サンガF.C.
5,本多　勇喜,Yuki HONDA,岐阜ＶＡＭＯＳ－名古屋グランパスＵ１８－阪南大－名古屋グランパス,1991/01/02,京都サンガF.C.
6,武富　孝介,Kosuke TAKETOMI,三室少年団－柏レイソルＵ－１５－柏レイソルＵ－１８－柏レイソル－モジミリンＥＣ／ブラジル－柏レイソル－ロアッソ熊本－柏レイソル－ロアッソ熊本－柏レイソル－湘南ベルマーレ－柏レイソル－湘南ベルマーレ－柏レイソル－浦和レッズ－湘南ベルマーレ－浦和レッズ,1990/09/23,京都サンガF.C.
7,荒木　大吾,Daigo ARAKI,柏レイソルＵ－１５－柏レイソルＵ－１８－青山学院大－ジュビロ磐田,1994/02/17,京都サンガF.C.
8,ピーター　ウタカ,Peter Maduabuchi Utaka(PETER UTAKA),ロイヤル　アントワープＦＣ／ベルギー－オーデンセＢＫ／デンマーク－大連阿爾濱足球倶楽部／中国－北京国安足球倶楽部／中国－上海申キン足球倶楽部／中国－清水エスパルス－サンフレッチェ広島－清水エスパルス－サンフレッチェ広島－ＦＣ東京－ヴェイレＢＫ／デンマーク－徳島ヴォルティス－ヴァンフォーレ甲府,1984/02/12,京都サンガF.C.
9,庄司　悦大,Yoshihiro SHOJI,沼津原ＳＳＳ－清水エスパルスＪｒユース－清水商高－専修大－ＦＣ町田ゼルビア－レノファ山口ＦＣ－ＦＣ岐阜－ベガルタ仙台－京都サンガF.C.－ベガルタ仙台,1989/09/14,京都サンガF.C.
10,曽根田　穣,Yutaka SONEDA,松山ＳＳ－愛媛ＦＣＪｒユース－愛媛ＦＣユース－びわこ成蹊スポーツ大－ヴァンフォーレ甲府,1994/08/29,京都サンガF.C.
