,選手名,選手名（英字）,生年月日,所属チーム,前所属チーム1,前所属チーム2,前所属チーム3,前所属チーム4,前所属チーム5,前所属チーム6,前所属チーム7,前所属チーム8,前所属チーム9,前所属チーム10,前所属チーム11,前所属チーム12,前所属チーム13,前所属チーム14,前所属チーム15,前所属チーム16,前所属チーム17,前所属チーム18,前所属チーム19,前所属チーム20,前所属チーム21
1044,野々村　鷹人,Takato NONOMURA,1998/05/13,松本山雅ＦＣ,流通経済大,綾羽高,ＦＣ湖東,,,,,,,,,,,,,,,,,,
1045,山口　一真,Kazuma YAMAGUCHI,1996/01/17,松本山雅ＦＣ,鹿島アントラーズ,水戸ホーリーホック,鹿島アントラーズ,阪南大,山梨学院大付属高,,,,,,,,,,,,,,,,
1046,小島　亨介,Ryosuke KOJIMA,1997/01/30,アルビレックス新潟,大分トリニータ,アルビレックス新潟,大分トリニータ,早稲田大,名古屋グランパスＵ-１８,名古屋グランパス三好ＦＣ,下山ＦＣ,,,,,,,,,,,,,,
1047,岡本　將成,Shosei OKAMOTO,2000/04/07,アルビレックス新潟,鹿児島ユナイテッドＦＣ,アルビレックス新潟,アルビレックス新潟Ｕ-１８,アルビレックス新潟Ｕ-１５,,,,,,,,,,,,,,,,,
1048,舞行龍ジェームズ,Michael James FITZGERALD,1988/09/17,アルビレックス新潟,川崎フロンターレ,アルビレックス新潟,Ｖ・ファーレン長崎,アルビレックス新潟,Ｖ・ファーレン長崎,アルビレックス新潟,ツエーゲン金沢,アルビレックス新潟,ツエーゲン金沢,アルビレックス新潟,ＪＡＰＡＮサッカーカレッジ,アルビレックス新潟,成立学園高,,,,,,,,
1049,秋山　裕紀,Hiroki AKIYAMA,2000/12/09,アルビレックス新潟,アスルクラロ沼津,アルビレックス新潟,前橋育英高,前橋ＦＣ,,,,,,,,,,,,,,,,,
1050,谷口　海斗,Kaito TANIGUCHI,1995/09/07,アルビレックス新潟,ロアッソ熊本,いわてグルージャ盛岡,岐阜経済大,四日市中央工高,紀州エスフォルソ,海山ＦＣ,,,,,,,,,,,,,,,
1051,高　宇洋,Takahiro KO,1998/04/20,アルビレックス新潟,ガンバ大阪,レノファ山口ＦＣ,ガンバ大阪,レノファ山口ＦＣ,ガンバ大阪,市立船橋高,川崎フロンターレＵ-１５,川崎フロンターレＵ-１２,ＦＣ中原,,,,,,,,,,,,
1052,鈴木　孝司,Koji SUZUKI,1989/07/25,アルビレックス新潟,セレッソ大阪,ＦＣ琉球,ＦＣ町田ゼルビア,法政大,桐光学園高,横浜Ｆ・マリノスＪｒユース追浜,初声ジュニアＦＣ,,,,,,,,,,,,,,
1053,本間　至恩,Shion HOMMA,2000/08/09,アルビレックス新潟,アルビレックス新潟Ｕ-１８,アルビレックス新潟Ｕ-１５,,,,,,,,,,,,,,,,,,,
1054,田中　達也,Tatsuya TANAKA,1982/11/27,アルビレックス新潟,浦和レッズ,帝京高,,,,,,,,,,,,,,,,,,,
1055,ゴンサロ　ゴンザレス,Gonzalo Federico Gonzalez Pereyra(GONZALO GONZALEZ),1993/10/07,アルビレックス新潟,ＣＡフベントゥ／ウルグアイ,アポロン　スミルニＦＣ／ギリシャ,アルセナル　デ　サラン／アルゼンチン,ダヌービオＦＣ／ウルグアイ,,,,,,,,,,,,,,,,,
1056,福田　晃斗,Akito FUKUTA,1992/05/01,アルビレックス新潟,湘南ベルマーレ,サガン鳥栖,鹿屋体育大,四日市中央工高,名古屋グランパスＵ１５,,,,,,,,,,,,,,,,
1057,星　雄次,Yuji HOSHI,1992/07/27,アルビレックス新潟,大分トリニータ,レノファ山口ＦＣ,福島ユナイテッドＦＣ,法政大,横浜Ｆ・マリノスユース,横浜Ｆ・マリノスＪｒユース,つくし野サッカースポーツ少年団,,,,,,,,,,,,,,
1058,島田　譲,Yuzuru SHIMADA,1990/11/28,アルビレックス新潟,Ｖ・ファーレン長崎,アルビレックス新潟,Ｖ・ファーレン長崎,ファジアーノ岡山,早稲田大,鹿島アントラーズユース,鹿島アントラーズＪｒユース,新荘常磐ＳＳＳ,,,,,,,,,,,,,
1059,阿部　航斗,Koto ABE,1997/08/01,アルビレックス新潟,筑波大,アルビレックス新潟Ｕ-１８,アルビレックス新潟Ｊｒユース,,,,,,,,,,,,,,,,,,
1060,瀬口　拓弥,Takuya SEGUCHI,1988/11/30,アルビレックス新潟,徳島ヴォルティス,カマタマーレ讃岐,流通経済大,クラブ　ドラゴンズ,流通経済大,笠岡工高,ハジャスＦＣ,中洲ＪＳＣ,,,,,,,,,,,,,
1061,小見　洋太,Yota KOMI,2002/08/11,アルビレックス新潟,昌平高,ＦＣ　ＬＡＶＩＤＡ,ＦＣリアン,,,,,,,,,,,,,,,,,,
1062,ロメロ　フランク,Frank ROMERO,1987/08/19,アルビレックス新潟,ＦＣ町田ゼルビア,アルビレックス新潟,水戸ホーリーホック,アルビレックス新潟,モンテディオ山形,水戸ホーリーホック,流通経済大,青森山田高,江陽中,,,,,,,,,,,,
1063,藤原　奏哉,Soya FUJIWARA,1995/09/09,アルビレックス新潟,ギラヴァンツ北九州,阪南大,ルーテル学院高,レオーネ山口Ｕ-１５,レオーネ山口Ｕ-１２,,,,,,,,,,,,,,,,
1064,遠藤　凌,Ryo ENDO,1998/07/06,アルビレックス新潟,桐蔭横浜大,浦和レッズユース,坂戸ディプロマッツＦＣ,飯能ジュニアＳＳＳ,,,,,,,,,,,,,,,,,
1065,大本　祐槻,Yuki OMOTO,1994/09/24,アルビレックス新潟,Ｖ・ファーレン長崎,徳島ヴォルティス,ＦＣ岐阜,阪南大,野洲高,ＦＣ湖東,,,,,,,,,,,,,,,
1066,早川　史哉,Fumiya HAYAKAWA,1994/01/12,アルビレックス新潟,筑波大,アルビレックス新潟ユース,アルビレックス新潟Ｊｒユース,,,,,,,,,,,,,,,,,,
1067,丸山　嵩大,Shuto MARUYAMA,2004/08/16,アルビレックス新潟,アルビレックス新潟Ｕ-１５,,,,,,,,,,,,,,,,,,,,
1068,堀米　悠斗,Yuto HORIGOME,1994/09/09,アルビレックス新潟,北海道コンサドーレ札幌,福島ユナイテッドＦＣ,コンサドーレ札幌,コンサドーレ札幌Ｕ-１８,コンサドーレ札幌Ｕ-１５,コンサドーレ札幌Ｕ-１２,,,,,,,,,,,,,,,
1069,長谷川　巧,Takumi HASEGAWA,1998/10/06,アルビレックス新潟,ツエーゲン金沢,アルビレックス新潟,ザスパクサツ群馬,アルビレックス新潟,アルビレックス新潟Ｕ-１８,アルビレックス新潟Ｊｒユース,,,,,,,,,,,,,,,
1070,高木　善朗,Yoshiaki TAKAGI,1992/12/09,アルビレックス新潟,東京ヴェルディ,清水エスパルス,東京ヴェルディ,清水エスパルス,東京ヴェルディ,清水エスパルス,ＦＣユトレヒト／オランダ,東京ヴェルディ,東京ヴェルディユース,東京ヴェルディ１９６９Ｊｒユース,あざみ野Ｆ．Ｃ．,,,,,,,,,,
1071,千葉　和彦,Kazuhiko CHIBA,1985/06/21,アルビレックス新潟,名古屋グランパス,サンフレッチェ広島,アルビレックス新潟,ドートレヒト／オランダ,ＡＧＯＶＶアプルドーレン／オランダ,日生学園第二高,,,,,,,,,,,,,,,
1072,三戸　舜介,Shunsuke MITO,2002/09/28,アルビレックス新潟,ＪＦＡアカデミー福島Ｕ-１８,ＪＦＡアカデミー福島Ｕ-１５,原サッカースポーツ少年団,,,,,,,,,,,,,,,,,,
1073,矢村　健,Ken YAMURA,1997/06/09,アルビレックス新潟,新潟医療福祉大,市立船橋高,,,,,,,,,,,,,,,,,,,
1074,藤田　和輝,Kazuki FUJITA,2001/02/19,アルビレックス新潟,アルビレックス新潟Ｕ-１８,アルビレックス新潟Ｕ-１５,,,,,,,,,,,,,,,,,,,
1075,田上　大地,Daichi TAGAMI,1993/06/16,アルビレックス新潟,柏レイソル,アルビレックス新潟,柏レイソル,Ｖ・ファーレン長崎,流通経済大,流通経済大付属柏高,,,,,,,,,,,,,,,
1076,後藤　雅明,Masaaki GOTO,1994/05/24,ツエーゲン金沢,湘南ベルマーレ,ツエーゲン金沢,湘南ベルマーレ,早稲田大,國學院久我山高,プレジールＳＣ入間,小手指サッカースポーツ少年団,,,,,,,,,,,,,,
1077,作田　裕次,Yuji SAKUDA,1987/12/04,ツエーゲン金沢,モンテディオ山形,大分トリニータ,水戸ホーリーホック,筑波大,星稜高,松任中,松南サッカースポーツ少年団,,,,,,,,,,,,,,
1078,石尾　崚雅,Ryoga ISHIO,2000/05/18,ツエーゲン金沢,セレッソ大阪Ｕ-１８,セレッソ大阪Ｕ-１５,志紀Ｆ．Ｃ,,,,,,,,,,,,,,,,,,
1079,松田　陸,Riku MATSUDA,1999/05/03,ツエーゲン金沢,ガンバ大阪,前橋育英高,前橋ＦＣ,美土里ＳＣ,,,,,,,,,,,,,,,,,
1080,大橋　尚志,Hisashi OHASHI,1996/12/01,ツエーゲン金沢,鹿島アントラーズ,鹿島アントラーズユース,鹿島アントラーズつくばＪｒユース,,,,,,,,,,,,,,,,,,
1081,嶋田　慎太郎,Shintaro SHIMADA,1995/12/05,ツエーゲン金沢,大宮アルディージャ,大分トリニータ,大宮アルディージャ,ロアッソ熊本,ロアッソ熊本ユース,ロアッソ熊本Ｊｒユース,ＦＣビッグウェーブ,,,,,,,,,,,,,,
1082,藤村　慶太,Keita FUJIMURA,1993/09/02,ツエーゲン金沢,ベガルタ仙台,ツエーゲン金沢,ベガルタ仙台,盛岡商高,ＳＳＣヴェローチェ盛岡Ｊｒユース,ＦＣ手代森,,,,,,,,,,,,,,,
1083,丹羽　詩温,Shion NIWA,1994/06/18,ツエーゲン金沢,愛媛ＦＣ,明治大,大阪桐蔭高,城南中,,,,,,,,,,,,,,,,,
1084,瀬沼　優司,Yuji SENUMA,1990/09/01,ツエーゲン金沢,横浜ＦＣ,モンテディオ山形,清水エスパルス,モンテディオ山形,清水エスパルス,愛媛ＦＣ,清水エスパルス,愛媛ＦＣ,清水エスパルス,栃木ＳＣ,清水エスパルス,筑波大,桐光学園高,上溝南中,上南ＳＣ,,,,,,
1085,杉浦　恭平,Kyohei SUGIURA,1989/01/11,ツエーゲン金沢,ベガルタ仙台,ヴィッセル神戸,川崎フロンターレ,ヴィッセル神戸,川崎フロンターレ,愛媛ＦＣ,川崎フロンターレ,愛媛ＦＣ,川崎フロンターレ,静岡学園高,ＦＣ雄踏,聖隷ＪＦＣ,,,,,,,,,
1086,大石　竜平,Ryuhei OISHI,1997/01/21,ツエーゲン金沢,国士舘大,清水桜が丘高,ジュビロ磐田Ｕ-１５,,,,,,,,,,,,,,,,,,
1087,金子　昌広,Masahiro KANEKO,1991/02/02,ツエーゲン金沢,ヴァンフォーレ甲府,ツエーゲン金沢,ヴァンフォーレ甲府,国士舘大,正智深谷高,所沢ＪｒユースＳＣ,柳瀬レッドローズジュニア,,,,,,,,,,,,,,
1088,渡邊　泰基,Taiki WATANABE,1999/04/22,ツエーゲン金沢,アルビレックス新潟,ツエーゲン金沢,アルビレックス新潟,前橋育英高,アルビレックス新潟Ｕ-１５,,,,,,,,,,,,,,,,
1089,本塚　聖也,Toshiya MOTOZUKA,1997/05/20,ツエーゲン金沢,金沢星稜大,北海道コンサドーレ札幌Ｕ-１８,北海道コンサドーレ札幌Ｕ-１５,,,,,,,,,,,,,,,,,,
1090,窪田　稜,Ryo KUBOTA,2001/01/05,ツエーゲン金沢,成立学園高,フッチＳＣ,,,,,,,,,,,,,,,,,,,
1091,島津　頼盛,Raisei SHIMAZU,1999/04/07,ツエーゲン金沢,興国高,セレッソ大阪Ｕ-１５,,,,,,,,,,,,,,,,,,,
1092,石井　綾,Ryo ISHII,1993/06/24,ツエーゲン金沢,ツエーゲン金沢,水戸ホーリーホック,ＦＣ琉球,水戸ホーリーホック,福島ユナイテッドＦＣ,水戸ホーリーホック,アスルクラロ沼津,水戸ホーリーホック,中京大,名古屋グランパスＵ１８,名古屋グランパスＵ１５,,,,,,,,,,
1093,力安　祥伍,Shogo RIKIYASU,1998/08/22,ツエーゲン金沢,明治大,サンフレッチェ広島ユース,サンフレッチェ広島Ｊｒユース,,,,,,,,,,,,,,,,,,
1094,白井　裕人,Yuto SHIRAI,1988/06/19,ツエーゲン金沢,松本山雅ＦＣ,流通経済大,流通経済大ＦＣ,流通経済大,クラブ　ドラゴンズ,流通経済大,流通経済大付属柏高,柏イーグルス,,,,,,,,,,,,,
1095,片倉　誠也,Seiya KATAKURA,1998/12/05,ツエーゲン金沢,城西大,鹿島学園高,ＦＣアネーロ宇都宮Ｕ-１５,,,,,,,,,,,,,,,,,,
1096,高安　孝幸,Takayuki TAKAYASU,2001/09/25,ツエーゲン金沢,興國高,安岡中,,,,,,,,,,,,,,,,,,,
1097,田路　耀介,Yosuke TOJI,2001/04/08,ツエーゲン金沢,興國高,セレッソ大阪Ｕ-１５,,,,,,,,,,,,,,,,,,,
1098,廣井　友信,Tomonobu HIROI,1985/01/11,ツエーゲン金沢,清水エスパルス,ロアッソ熊本,清水エスパルス,ロアッソ熊本,清水エスパルス,東京ヴェルディ,清水エスパルス,駒澤大,前橋育英高,ＦＣ杉野,程久保ＳＣ,,,,,,,,,,
1099,ホドルフォ,RODOLFO Tito De Moraes,1997/03/05,ツエーゲン金沢,メトロポリターノ／ブラジル,ツエーゲン金沢,メトロポリターノ／ブラジル,モンテディオ山形,メトロポリターノ／ブラジル,ボア　エスポルチ／ブラジル,アトレチコ　イタぺミリム／ブラジル,メトロポリターノ／ブラジル,,,,,,,,,,,,,
1100,大谷　駿斗,Hayato OTANI,1997/01/17,ツエーゲン金沢,カターレ富山,金沢学院大,松任高,エスポワール白山ＦＣＪｒユース,松任ＦＣ Ｊｒユース,旭丘サッカースポーツ少年団,,,,,,,,,,,,,,,
1101,上田　樹,Itsuki UEDA,2001/06/28,ツエーゲン金沢,ツエーゲン金沢Ｕ-１８,ツエーゲン金沢Ｕ-１５,内灘ＦＣ,,,,,,,,,,,,,,,,,,
1102,杉浦　力斗,Rikito SUGIURA,2002/10/22,ツエーゲン金沢,興国高,ＩＲＩＳ生野Ｕ-１５,,,,,,,,,,,,,,,,,,,
1103,稲葉　楽,Gaku INABA,2002/04/27,ツエーゲン金沢,藤枝東高,セレッソ大阪Ｕ-１５,,,,,,,,,,,,,,,,,,,
1104,庄司　朋乃也,Honoya SHOJI,1997/10/08,ツエーゲン金沢,セレッソ大阪,Ｖ・ファーレン長崎,セレッソ大阪,大分トリニータ,セレッソ大阪,ツエーゲン金沢,セレッソ大阪,ツエーゲン金沢,セレッソ大阪,セレッソ大阪Ｕ-１８,クマガヤＳＣ,,,,,,,,,,
1105,八田　直樹,Naoki HATTA,1986/06/24,ジュビロ磐田,ジュビロ磐田ユース,港中,,,,,,,,,,,,,,,,,,,
1106,今野　泰幸,Yasuyuki KONNO,1983/01/25,ジュビロ磐田,ガンバ大阪,ＦＣ東京,コンサドーレ札幌,東北高,山田中,上野山ＦＣ,,,,,,,,,,,,,,,
1107,大井　健太郎,Kentaro OI,1984/05/14,ジュビロ磐田,アルビレックス新潟,ジュビロ磐田,湘南ベルマーレ,ジュビロ磐田,藤枝東高,ＡＣＭブルックスＪｒユース,高洲南スポーツ少年団,,,,,,,,,,,,,,
1108,大津　祐樹,Yuki OTSU,1990/03/24,ジュビロ磐田,横浜Ｆ・マリノス,柏レイソル,ＶＶＶフェンロ／オランダ,ボルシアＭＧ／ドイツ,柏レイソル,成立学園高,鹿島アントラーズノルテＪｒユース,,,,,,,,,,,,,,
1109,小川　大貴,Daiki OGAWA,1991/10/16,ジュビロ磐田,明治大,ジュビロ磐田ユース,ＡＣＮジュビロ沼津,,,,,,,,,,,,,,,,,,
1110,大森　晃太郎,Kotaro OMORI,1992/04/28,ジュビロ磐田,ＦＣ東京,ヴィッセル神戸,ガンバ大阪,ガンバ大阪ユース,ガンバ大阪Ｊｒユース,大阪セントラルＦＣ,,,,,,,,,,,,,,,
1111,小川　航基,Koki OGAWA,1997/08/08,ジュビロ磐田,水戸ホーリーホック,ジュビロ磐田,桐光学園高,大豆戸ＦＣ,,,,,,,,,,,,,,,,,
1112,山田　大記,Hiroki YAMADA,1988/12/27,ジュビロ磐田,カールスルーエＳＣ／ドイツ,ジュビロ磐田,明治大,藤枝東高,ヤマハジュビロ浜北ＳＳ,ヤマハジュビロSS浜松,,,,,,,,,,,,,,,
1113,ルキアン,LUKIAN Araujo de Almeida,1991/09/21,ジュビロ磐田,チョンブリＦＣ／タイ,パタヤユナイテッド／タイ,ＦＣ安養／大韓民国,釜山アイパーク／大韓民国,富川ＦＣ１９９５／大韓民国,ルヴェルデンセＥＣ／ブラジル,サンタクルスＦＣ／ブラジル,ノヴァ　イグアスＦＣ／ブラジル,リオ　ブランコＥＣ／ブラジル,ノヴァ　イグアスＦＣ／ブラジル,,,,,,,,,,,
1114,藤川　虎太朗,Kotaro FUJIKAWA,1998/07/24,ジュビロ磐田,東福岡高,サガン鳥栖Ｕ-１５,,,,,,,,,,,,,,,,,,,
1115,松本　昌也,Masaya MATSUMOTO,1995/01/25,ジュビロ磐田,大分トリニータ,ＪＦＡアカデミー福島,ＦＣ中津１９８１,和田ＳＣ,,,,,,,,,,,,,,,,,
1116,伊藤　洋輝,Hiroki ITO,1999/05/12,ジュビロ磐田,名古屋グランパス,ジュビロ磐田,ジュビロ磐田Ｕ-１８,ジュビロ磐田Ｕ-１５,,,,,,,,,,,,,,,,,
1117,鈴木　雄斗,Yuto SUZUKI,1993/12/07,ジュビロ磐田,川崎フロンターレ,松本山雅ＦＣ,川崎フロンターレ,ガンバ大阪,川崎フロンターレ,モンテディオ山形,水戸ホーリーホック,横浜Ｆ・マリノスユース,横浜Ｆ・マリノスＪｒユース,柏レイソルＵ-１５,柏レイソルＵ-１２,大分トリニータＵ-１２,,,,,,,,,
1118,三木　直土,Naoto MIKI,2001/05/08,ジュビロ磐田,ジュビロ磐田Ｕ-１８,FCアヴェニーダソル,,,,,,,,,,,,,,,,,,,
1119,杉本　大地,Daichi SUGIMOTO,1993/07/15,ジュビロ磐田,横浜Ｆ・マリノス,京都サンガF.C.,徳島ヴォルティス,京都サンガF.C.,京都サンガF.C.Ｕ-１８,ヤマハジュビロ浜松,,,,,,,,,,,,,,,
1120,中川　創,So NAKAGAWA,1999/06/01,ジュビロ磐田,柏レイソル,ＳＣ相模原,柏レイソル,柏レイソルＵ-１８,柏レイソルＵ-１５,福栄ＦＣ,,,,,,,,,,,,,,,
1121,山本　康裕,Kosuke YAMAMOTO,1989/10/29,ジュビロ磐田,アルビレックス新潟,ジュビロ磐田,アルビレックス新潟,ジュビロ磐田,ジュビロ磐田ユース,ヤマハジュビロＳＳ浜北,,,,,,,,,,,,,,,
1122,森岡　陸,Riku MORIOKA,1998/11/20,ジュビロ磐田,法政大,ジュビロ磐田Ｕ-１８,ジュビロ磐田Ｕ-１５,,,,,,,,,,,,,,,,,,
1123,吉長　真優,Mahiro YOSHINAGA,2002/03/20,ジュビロ磐田,成立学園高,ＦＣ府中,,,,,,,,,,,,,,,,,,,
1124,鹿沼　直生,Naoki KANUMA,1997/12/07,ジュビロ磐田,ＳＣ相模原,専修大,静岡学園高,グランデＦＣ,,,,,,,,,,,,,,,,,
1125,ファビアン　ゴンザレス,Fabian Andres Gonzalez Lasso(FABIAN GONZALEZ),1992/11/23,ジュビロ磐田,アトレティコ　ナシオナル／コロンビア,ミジョナリオス／コロンビア,アカデミア　カントラオ／ペルー,アヤクーチョＦＣ／ペルー,スポーツアンカシュ／ペルー,ラ　エキダ／コロンビア,デポルティボ　パスト／コロンビア,,,,,,,,,,,,,,
1126,清田　奈央弥,Naoya SEITA,2001/08/25,ジュビロ磐田,ジュビロ磐田Ｕ-１８,横浜Ｆ・マリノスＪｒユース,,,,,,,,,,,,,,,,,,,
1127,鈴木　海音,Kaito SUZUKI,2002/08/25,ジュビロ磐田,ジュビロ磐田Ｕ-１８,ジュビロ磐田Ｕ-１５,,,,,,,,,,,,,,,,,,,
1128,三浦　龍輝,Ryuki MIURA,1992/05/17,ジュビロ磐田,ＡＣ長野パルセイロ,柏レイソル,明治大,ＦＣ東京Ｕ-１８,町田ＪＦＣ,町田ＪＦＣジュニア,,,,,,,,,,,,,,,
1129,アレクセイ　コシェレフ,ALEXEI KOSELEV,1993/11/19,ジュビロ磐田,フォルトナ　シッタート／オランダ,ＣＳＭポリテフニカ　ヤシ／ルーマニア,ＦＣシェリフ　ティラスポリ／モルドバ,ＦＣティラスポリ／モルドバ,ＦＣサクサン／モルドバ,ＦＣクバン　クラスノダー／ロシア連邦,ＦＣスファンツル　ゲオルヘ／モルドバ,ＦＣダチア　ブユカニ／モルドバ,ＣＦガガウジヤ　コムラット／モルドバ,,,,,,,,,,,,
1130,山本　義道,Norimichi YAMAMOTO,1995/07/25,ジュビロ磐田,横浜Ｆ・マリノス,ジュビロ磐田,横浜Ｆ・マリノス,ツエーゲン金沢,びわこ成蹊スポーツ大,作陽高,ＦＣ　ＮＥＯ,,,,,,,,,,,,,,
1131,加藤　智陽,Chiharu KATO,1996/04/11,ジュビロ磐田,ＡＣカヤーニ／フィンランド,ロッチデール　ローバ／オーストラリア,専修大,西武台高,,,,,,,,,,,,,,,,,
1132,大武　峻,Shun OBU,1992/11/24,ジュビロ磐田,アルビレックス新潟,名古屋グランパス,福岡大,筑陽学園高,筑陽学園中,,,,,,,,,,,,,,,,
1133,遠藤　保仁,Yasuhito ENDO,1980/01/28,ジュビロ磐田,ガンバ大阪,ジュビロ磐田,ガンバ大阪,京都パープルサンガ,横浜フリューゲルス,鹿児島実業高,桜島中,,,,,,,,,,,,,,
1134,福島　春樹,Haruki FUKUSHIMA,1993/04/08,京都サンガF.C.,浦和レッズ,ガイナーレ鳥取,浦和レッズ,専修大,静岡学園高,カワムラＦＣ,瀬戸ＮＦＣ,,,,,,,,,,,,,,
1135,飯田　貴敬,Takahiro IIDA,1994/08/31,京都サンガF.C.,清水エスパルス,専修大,野洲高,下館西中,真壁ジュニオール,,,,,,,,,,,,,,,,
1136,木村　誠二,Seiji KIMURA,2001/08/24,京都サンガF.C.,ＦＣ東京,ＦＣ東京Ｕ-１８,ＦＣ東京Ｕ-１５深川,市川ＦＣ,,,,,,,,,,,,,,,,,
1137,松田　天馬,Temma MATSUDA,1995/06/11,京都サンガF.C.,湘南ベルマーレ,鹿屋体育大,東福岡高,熊本ユナイテッドＳＣ　Ｕ-１５,熊本ユナイテッドＳＣ　Ｕ-１２,,,,,,,,,,,,,,,,
1138,黒木　恭平,Kyohei KUROKI,1989/07/31,京都サンガF.C.,鹿児島ユナイテッドＦＣ,京都サンガF.C.,鹿児島ユナイテッドＦＣ,大分トリニータ,レノファ山口ＦＣ,ヴェルスパ大分,サガン鳥栖,愛媛ＦＣ,サガン鳥栖,福岡大,専修大玉名高,大津中,,,,,,,,,
1139,本多　勇喜,Yuki HONDA,1991/01/02,京都サンガF.C.,名古屋グランパス,阪南大,名古屋グランパスＵ１８,岐阜ＶＡＭＯＳ,,,,,,,,,,,,,,,,,
1140,武富　孝介,Kosuke TAKETOMI,1990/09/23,京都サンガF.C.,浦和レッズ,湘南ベルマーレ,浦和レッズ,柏レイソル,湘南ベルマーレ,柏レイソル,湘南ベルマーレ,柏レイソル,ロアッソ熊本,柏レイソル,ロアッソ熊本,柏レイソル,モジミリンＥＣ／ブラジル,柏レイソル,柏レイソルＵ-１８,柏レイソルＵ-１５,三室少年団,,,,
1141,荒木　大吾,Daigo ARAKI,1994/02/17,京都サンガF.C.,ジュビロ磐田,青山学院大,柏レイソルＵ-１８,柏レイソルＵ-１５,,,,,,,,,,,,,,,,,
1142,ピーター　ウタカ,Peter Maduabuchi Utaka(PETER UTAKA),1984/02/12,京都サンガF.C.,ヴァンフォーレ甲府,徳島ヴォルティス,ヴェイレＢＫ／デンマーク,ＦＣ東京,サンフレッチェ広島,清水エスパルス,サンフレッチェ広島,清水エスパルス,上海申キン足球倶楽部／中国,北京国安足球倶楽部／中国,大連阿爾濱足球倶楽部／中国,オーデンセＢＫ／デンマーク,ロイヤル　アントワープＦＣ／ベルギー,,,,,,,,
1143,庄司　悦大,Yoshihiro SHOJI,1989/09/14,京都サンガF.C.,ベガルタ仙台,京都サンガF.C.,ベガルタ仙台,ＦＣ岐阜,レノファ山口ＦＣ,ＦＣ町田ゼルビア,専修大,清水商高,清水エスパルスＪｒユース,沼津原ＳＳＳ,,,,,,,,,,,
1144,曽根田　穣,Yutaka SONEDA,1994/08/29,京都サンガF.C.,ヴァンフォーレ甲府,びわこ成蹊スポーツ大,愛媛ＦＣユース,愛媛ＦＣＪｒユース,松山ＳＳ,,,,,,,,,,,,,,,,
1145,宮吉　拓実,Takumi MIYAYOSHI,1992/08/07,京都サンガF.C.,北海道コンサドーレ札幌,サンフレッチェ広島,京都サンガF.C.,カターレ富山,京都サンガF.C.,京都サンガF.C.Ｕ-１８,京都サンガF.C.Ｕ-１５,ラーゴＦＣ,,,,,,,,,,,,,
1146,中川　寛斗,Hiroto NAKAGAWA,1994/11/03,京都サンガF.C.,湘南ベルマーレ,柏レイソル,湘南ベルマーレ,柏レイソル,湘南ベルマーレ,柏レイソル,湘南ベルマーレ,柏レイソル,柏レイソルＵ-１８,柏レイソルＵ-１５,柏レイソルＵ-１２,大東少年団,ジップＳＣ,,,,,,,,
1147,長井　一真,Kazuma NAGAI,1998/11/02,京都サンガF.C.,関西大,興国高,大阪セントラルＦＣＪｒユース,大阪セントラルＦＣ,,,,,,,,,,,,,,,,,
1148,武田　将平,Shohei TAKEDA,1994/04/04,京都サンガF.C.,ファジアーノ岡山,ヴァンフォーレ甲府,ファジアーノ岡山,神奈川大,流通経済大付属柏高,伊勢原中,リトルジャンボＳ．Ｃ,,,,,,,,,,,,,,
1149,荻原　拓也,Takuya OGIWARA,1999/11/23,京都サンガF.C.,浦和レッズ,アルビレックス新潟,浦和レッズ,浦和レッズユース,浦和レッズＪｒユース,1FC川越水上公園,,,,,,,,,,,,,,,
1150,野田　隆之介,Ryunosuke NODA,1988/09/28,京都サンガF.C.,湘南ベルマーレ,名古屋グランパス,サガン鳥栖,日本経済大,福岡舞鶴高,金武中,たのしかＦＣ,,,,,,,,,,,,,,
1151,麻田　将吾,Shogo ASADA,1998/07/06,京都サンガF.C.,カマタマーレ讃岐,京都サンガF.C.,カマタマーレ讃岐,京都サンガF.C.,京都サンガF.C.Ｕ-１８,アルフット安曇野Ｊｒユース,アルフット安曇野ジュニア,,,,,,,,,,,,,,
1152,李　忠成,Tadanari LEE,1985/12/19,京都サンガF.C.,横浜Ｆ・マリノス,浦和レッズ,サウサンプトンＦＣ／イングランド,ＦＣ東京,サウサンプトンＦＣ／イングランド,サンフレッチェ広島,柏レイソル,ＦＣ東京,ＦＣ東京Ｕ-１８,横河ＦＣＪｒユース,こみねＦＣ,,,,,,,,,,
1153,清水　圭介,Keisuke SHIMIZU,1988/11/25,京都サンガF.C.,大分トリニータ,アビスパ福岡,大分トリニータ,ニューウェーブ北九州,大分トリニータ,滝川二高,神野ＳＣ,,,,,,,,,,,,,,
1154,谷内田　哲平,Teppei YACHIDA,2001/11/01,京都サンガF.C.,帝京長岡高,長岡ＪｒユースＦＣ,,,,,,,,,,,,,,,,,,,
1155,ヨルディ　バイス,JORDY BUIJS,1988/12/28,京都サンガF.C.,Ｖ・ファーレン長崎,徳島ヴォルティス,Ｖ・ファーレン長崎,シドニーＦＣ／オーストラリア,ＣＳパンドゥリイ　トゥル／ルーマニア,ローダＪＣ／オランダ,ＳＣヘーレンフェーン／オランダ,ＮＡＣブレダ／オランダ,デ　フラーフスハップ／オランダ,デ　フラーフスハップ／オランダ,フェイエノールト／オランダ,,,,,,,,,,
