,選手名,選手名（英語）,ポジション,生年月日,身長,体重,所属チーム,前所属チーム1,前所属チーム2,前所属チーム3,前所属チーム4,前所属チーム5,前所属チーム6,前所属チーム7,前所属チーム8,前所属チーム9,前所属チーム10,前所属チーム11,前所属チーム12,前所属チーム13,前所属チーム14,前所属チーム15,前所属チーム16,前所属チーム17,前所属チーム18,前所属チーム19,前所属チーム20,前所属チーム21
2970,ジャン　パトリック,JEAN PATRICK Reis,MF,1992/06/25,174,73,,,,,,,,,,,,,,,,,,,,,,
2971,ジャーメイン　良,Ryo GERMAIN,FW,1995/04/19,182,75,横浜ＦＣ,ベガルタ仙台,流通経済大,流通経済大付属柏高,ＦＣ厚木ＪｒユースＤＲＥＡＭＳ,南毛利ＦＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2972,ジャーン,JEAN Carlo Witte,DF,1977/09/24,185,79,,,,,,,,,,,,,,,,,,,,,,
2973,ジャーン　モーゼル,Jean Diego Moser(JEAN MOSER),FW,1993/06/23,182,82,,,,,,,,,,,,,,,,,,,,,,
2974,ジュシエ,JUSSIE Ferreira Vieira,FW,1983/09/19,180,70,,,,,,,,,,,,,,,,,,,,,,
2975,ジュニオール,JUNIOR Maranhao,DF,1977/05/15,180,79,,,,,,,,,,,,,,,,,,,,,,
2976,ジュニオール,Jose Alves Dos Santos JUNIOR,DF,1969/07/29,178,76,,,,,,,,,,,,,,,,,,,,,,
2977,ジュニオール,JUNIOR Jader Fell,DF,1992/04/10,187,83,,,,,,,,,,,,,,,,,,,,,,
2978,ジュニオール,Arthur Antunes Coimbra JUNIOR,MF,1977/10/15,179,72,,,,,,,,,,,,,,,,,,,,,,
2979,ジュニオール　サントス,Jose Antonio Dos Santos Junior (JUNIOR SANTOS),FW,1994/10/11,188,85,サンフレッチェ広島,柏レイソル,横浜Ｆ・マリノス,柏レイソル,フォルタレーザＥＣ／ブラジル,ＡＡポンチプレッタ／ブラジル,イトゥアーノＦＣ／ブラジル,オズヴァウドクルス／ブラジル,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2980,ジュニオール　ドゥトラ（ドゥトラ）,Dutra Junior Sergio(JUNIOR DUTRA),FW,1988/04/25,188,76,,,,,,,,,,,,,,,,,,,,,,
2981,ジュニオール　バホス,Junior De Barros(JUNIOR BARROS),FW,1993/04/19,183,77,,,,,,,,,,,,,,,,,,,,,,
2982,ジュニオール　マラニョン,Francisco Pereira Da Costa Junior(JUNIOR MARANHAO),MF,1977/06/17,177,77,,,,,,,,,,,,,,,,,,,,,,
2983,ジュニーニョ,Osvaldo Jose Martins Junior(JUNINHO),MF,1982/07/07,175,68,,,,,,,,,,,,,,,,,,,,,,
2984,ジュニーニョ,Junior Silva Ferreira(JUNINHO),MF,1994/09/26,165,63,栃木ＳＣ,京都サンガF.C.,ＦＣ大阪,京都サンガF.C.,ＦＣ大阪,クルゼイロＥＣ／ブラジル,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2985,ジュニーニョ,Carlos Alberto Carvalho Dos Anjos Junior(JUNINHO),FW,1977/09/15,174,67,,,,,,,,,,,,,,,,,,,,,,
2986,ジュリアーノ　ミネイロ,JULIANO MINEIRO Fernandes,MF,1986/02/14,175,74,,,,,,,,,,,,,,,,,,,,,,
2987,ジュリオ,JULIO Cesar Rocha Costa,DF,1980/05/12,174,68,,,,,,,,,,,,,,,,,,,,,,
2988,ジュリーニョ,Julio Cesar Godinho Catole(JULINHO),MF,1986/08/05,184,78,,,,,,,,,,,,,,,,,,,,,,
2989,徐　暁飛,XU Xiao Fei,MF,1982/03/07,175,73,,,,,,,,,,,,,,,,,,,,,,
2990,ジョ　ジヌ,JO Jin Woo,DF,1999/11/17,189,81,,,,,,,,,,,,,,,,,,,,,,
2991,ジョアン,JOAO Carlos Dos Santos,DF,1972/09/10,183,88,,,,,,,,,,,,,,,,,,,,,,
2992,ジョアン　オマリ,JOAN OUMARI,DF,1988/08/19,187,82,ＦＣ東京,ヴィッセル神戸,アル　ナスルＳＣ／アラブ首長国連邦,サガン鳥栖,アル　ナスルＳＣ／アラブ首長国連邦,シバシプール／トルコ,ＦＳＶフランクフルト／ドイツ,ロートヴァイス　エルフルト／ドイツ,ＳＶバーベルズブルグ／ドイツ,ライニケンドルファーフックセ／ドイツ,-,-,-,-,-,-,-,-,-,-,-,-
2993,ジョアン　シミッチ,Joao Felipe Schmidt Urbano(JOAO SCHMIDT),MF,1993/05/19,183,80,川崎フロンターレ,名古屋グランパス,リオ　アヴェＦＣ／ポルトガル,アタランタＢＣ／イタリア,リオ　アヴェＦＣ／ポルトガル,アタランタＢＣ／イタリア,サンパウロＦＣ／ブラジル,ヴィトーリアＦＣ／ポルトガル,サンパウロＦＣ／ブラジル,-,-,-,-,-,-,-,-,-,-,-,-,-
2994,ジョアンデルソン,JOANDERSON De Jesus Assis,FW,1996/02/16,180,74,,,,,,,,,,,,,,,,,,,,,,
2995,城　彰二,Shoji JO,FW,1975/06/17,179,72,,,,,,,,,,,,,,,,,,,,,,
2996,城後　寿,Hisashi JOGO,FW,1986/04/16,183,77,アビスパ福岡,国見高,ヴァレンティアＦＣＪｒユース,南ＦＣトータスジュニア,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2997,城定　信次,Shinji JOJO,DF,1977/08/28,180,72,,,,,,,,,,,,,,,,,,,,,,
2998,上西　駿大,Shundai JONISHI,GK,2004/08/14,183,70,ガンバ大阪,ガンバ大阪Ｊｒユース,マルカＦＣ,京都Ｊ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2999,城森　康誉,Yasutaka JOMORI,GK,1994/07/11,186,80,,,,,,,,,,,,,,,,,,,,,,
3000,ジョジマール,JOSIMAR Rodrigues Souza Roberto,FW,1987/08/16,183,80,,,,,,,,,,,,,,,,,,,,,,
3001,ジョズエ,JOSUE Souza Santos,FW,1987/07/10,170,70,,,,,,,,,,,,,,,,,,,,,,
3002,ジョナサン,JONATHAN Restrepo Naranjo,MF,1994/08/14,184,73,,,,,,,,,,,,,,,,,,,,,,
3003,ジョナス,JONAS Da Silva Santos,DF,1998/02/20,190,80,,,,,,,,,,,,,,,,,,,,,,
3004,ジョナタン,JHONATAN Da Silva Pereira,MF,1989/01/31,168,70,,,,,,,,,,,,,,,,,,,,,,
3005,ジョニウソン,JONILSON Clovis Nascimento Breves,MF,1978/11/28,175,73,,,,,,,,,,,,,,,,,,,,,,
3006,ジョニー　レオーニ,JOHNNY LEONI,GK,1984/06/30,189,80,,,,,,,,,,,,,,,,,,,,,,
3007,ジョルジ　ワグネル,JORGE WAGNER Goes Conceicao,MF,1978/11/17,178,73,,,,,,,,,,,,,,,,,,,,,,
3008,ジョルジェビッチ,Nenad DJORDJEVIC,DF,1979/08/07,183,76,,,,,,,,,,,,,,,,,,,,,,
3009,ジョルジーニョ,Jorge Luiz De Amorim Silva(JORGINHO),FW,1978/09/05,184,78,,,,,,,,,,,,,,,,,,,,,,
3010,ジョルジーニョ,Jorge Pereira Da Silva(JORGINHO),FW,1985/12/04,174,73,,,,,,,,,,,,,,,,,,,,,,
3011,ジョルディ　クルークス,JORDY CROUX,MF,1994/01/15,172,70,アビスパ福岡,ローダＪＣ／オランダ,ヴィレムⅡ／オランダ,ＭＶＶマーストリヒト／オランダ,ＯＨルーヴェン／ベルギー,ＫＲＣゲンク／ベルギー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3012,ジョン　イングォン,JEONG Ingwon,MF,1996/04/24,177,74,ＳＣ相模原,全州市民蹴球団／大韓民国,平澤市民蹴球団／大韓民国,全州市民蹴球団／大韓民国,忠州ヒュンメルＦＣ／大韓民国,ＦＫコザラ／ボスニア・ヘルツェゴビナ,ＮＫルチコ／クロアチア,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3013,ジョン　ガブリエル,JOAO GABRIEL,FW,1996/02/12,193,85,,,,,,,,,,,,,,,,,,,,,,
3014,鄭　震浩,JEONG Jin Ho,MF,1996/02/08,170,70,,,,,,,,,,,,,,,,,,,,,,
3015,ジョン　チュングン,JEONG Chung Geun,MF,1995/03/01,184,73,,,,,,,,,,,,,,,,,,,,,,
3016,ジョン　ドンホ（丁　東浩）,JEONG Dong Ho,DF,1990/03/07,175,67,,,,,,,,,,,,,,,,,,,,,,
3017,ジョン　パウロ,JOAO PAULO Da Silva,MF,1985/02/22,178,69,,,,,,,,,,,,,,,,,,,,,,
3018,ジョン　マリ,JOHN MARY,FW,1993/03/09,181,82,アビスパ福岡,深セン科健／中国,梅州客家／中国,ルダー　ベレンジェ／スロベニア,ボイボディナ／セルビア,プラチュワップ／タイ,クラビＦＣ／タイ,バンコク　クリスチャン　カレッ／タイ,ブリーラム　ユナイテッドＦＣ／タイ,-,-,-,-,-,-,-,-,-,-,-,-,-
3019,ジョン　ミンヒョク,JEONG Min Hyuku,FW,1995/03/13,175,63,,,,,,,,,,,,,,,,,,,,,,
3020,ジョー（バティスタ）,Joarlem Batista Santos(JO),FW,1995/05/01,192,92,,,,,,,,,,,,,,,,,,,,,,
3021,ジョー,Joao Alves De Assis Silva(JO),FW,1987/03/20,192,91,,,,,,,,,,,,,,,,,,,,,,
3022,ジョーンズ　レイ,Rei JONES,GK,2002/05/04,178,73,,,,,,,,,,,,,,,,,,,,,,
3023,神野　卓哉,Takuya JINNO,FW,1970/06/01,180,75,,,,,,,,,,,,,,,,,,,,,,
3024,ジヴコヴィッチ,Nenad ZIVKOVIC,FW,1989/03/10,193,87,,,,,,,,,,,,,,,,,,,,,,
3025,ジヴコヴィッチ,Aleksandar ZIVKOVIC,MF,1977/07/28,181,75,,,,,,,,,,,,,,,,,,,,,,
3026,ジーニョ,Crizam Cezar De Oliveira Filho(ZINHO),MF,1967/06/17,172,71,,,,,,,,,,,,,,,,,,,,,,
3027,末岡　龍二,Ryuji SUEOKA,MF,1979/05/22,169,62,,,,,,,,,,,,,,,,,,,,,,
3028,末木　裕也,Hiroya SUEKI,MF,1997/05/16,177,76,カターレ富山,法政大,ヴァンフォーレ甲府Ｕ-１８,ヴァンフォーレ甲府Ｕ-１５,フォルトゥナＳＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3029,末次　敦貴,Atsuki SUETSUGU,GK,1996/12/29,180,74,,,,,,,,,,,,,,,,,,,,,,
3030,末次　颯,Hayate SUETSUGU,FW,2002/06/21,180,71,,,,,,,,,,,,,,,,,,,,,,
3031,末吉　隼也,Toshiya SUEYOSHI,MF,1987/11/18,175,73,,,,,,,,,,,,,,,,,,,,,,
3032,末吉　塁,Rui SUEYOSHI,MF,1996/07/26,166,62,ジェフユナイテッド千葉,モンテディオ山形,大阪体育大,初芝橋本高,川上ＦＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3033,スカチェンコ,Sergey SKACHENKO,FW,1972/11/18,184,77,,,,,,,,,,,,,,,,,,,,,,
3034,菅　大輝,Daiki SUGA,FW,1998/09/10,171,69,北海道コンサドーレ札幌,北海道コンサドーレ札幌Ｕ-１８,コンサドーレ札幌Ｕ-１５,コンサドーレ札幌Ｕ-１２,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3035,菅井　拓也,Takuya SUGAI,MF,1991/08/02,170,67,アスルクラロ沼津,ヴァンラーレ八戸ＦＣ,仙台大,聖和学園高,ベガルタ仙台Ｊｒユース,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3036,菅井　直樹,Naoki SUGAI,MF,1984/09/21,178,70,,,,,,,,,,,,,,,,,,,,,,
3037,須貝　英大,Hidehiro SUGAI,DF,1998/10/27,172,67,ヴァンフォーレ甲府,明治大,浜松開誠館高,フォルトゥナＳＣＪｒユース,フォルトゥナＳＣジュニア,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3038,菅嶋　弘希,Hiroki SUGAJIMA,FW,1995/05/11,176,69,,,,,,,,,,,,,,,,,,,,,,
3039,菅田　真啓,Masahiro SUGATA,DF,1997/06/28,183,76,ロアッソ熊本,福岡大,国見高,白鳳中,葛城当麻ＦＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3040,菅沼　駿哉,Shunya SUGANUMA,DF,1990/05/17,182,78,ガンバ大阪,モンテディオ山形,京都サンガF.C.,ジュビロ磐田,ガンバ大阪,ジュビロ磐田,ガンバ大阪,ロアッソ熊本,ガンバ大阪,ガンバ大阪ユース,ガンバ大阪Ｊｒユース,-,-,-,-,-,-,-,-,-,-,-
3041,菅沼　実,Minoru SUGANUMA,MF,1985/05/16,173,69,,,,,,,,,,,,,,,,,,,,,,
3042,菅野　賢一,Kenichi SUGANO,DF,1971/08/08,170,65,,,,,,,,,,,,,,,,,,,,,,
3043,菅野　拓真,Takuma SUGANO,FW,1980/04/05,188,82,,,,,,,,,,,,,,,,,,,,,,
3044,菅野　隆星,Ryusei SUGANO,MF,2002/11/03,174,59,,,,,,,,,,,,,,,,,,,,,,
3045,菅原　太郎,Taro SUGAHARA,FW,1981/06/14,185,76,,,,,,,,,,,,,,,,,,,,,,
3046,菅本　岳,Gaku SUGAMOTO,MF,1994/09/10,175,68,,,,,,,,,,,,,,,,,,,,,,
3047,菅原　康太,Kota SUGAWARA,FW,1985/05/22,180,68,,,,,,,,,,,,,,,,,,,,,,
3048,菅原　脩斗,Shuto SUGAWARA,MF,2002/05/22,157,51,,,,,,,,,,,,,,,,,,,,,,
3049,菅原　智,Tomo SUGAWARA,MF,1976/06/03,174,68,,,,,,,,,,,,,,,,,,,,,,
3050,菅原　由勢,Yukinari SUGAWARA,DF,2000/06/28,179,69,,,,,,,,,,,,,,,,,,,,,,
3051,菅原　龍之助,Ryunosuke SUGAWARA,FW,2000/07/28,180,71,,,,,,,,,,,,,,,,,,,,,,
3052,杉井　颯,Hayate SUGII,DF,2000/05/17,177,72,ガイナーレ鳥取,柏レイソル,ツエーゲン金沢,柏レイソル,柏レイソルＵ-１８,柏レイソルＵ-１５,柏ラッセルＦＣ,流山隼ＳＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3053,杉浦　恭平,Kyohei SUGIURA,FW,1989/01/11,177,69,ツエーゲン金沢,ベガルタ仙台,ヴィッセル神戸,川崎フロンターレ,ヴィッセル神戸,川崎フロンターレ,愛媛ＦＣ,川崎フロンターレ,愛媛ＦＣ,川崎フロンターレ,静岡学園高,ＦＣ雄踏,聖隷ＪＦＣ,-,-,-,-,-,-,-,-,-
3054,杉浦　文哉,Fumiya SUGIURA,FW,1999/09/23,172,60,,,,,,,,,,,,,,,,,,,,,,
3055,杉浦　力斗,Rikito SUGIURA,FW,2002/10/22,182,70,ツエーゲン金沢,興国高,ＩＲＩＳ生野Ｕ-１５,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3056,杉岡　大暉,Daiki SUGIOKA,DF,1998/09/08,182,75,鹿島アントラーズ,湘南ベルマーレ,市立船橋高,ＦＣ東京Ｕ-１５深川,レジスタＦＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3057,杉田　真彦,Masahiko SUGITA,MF,1995/06/16,171,66,藤枝ＭＹＦＣ,ソニー仙台ＦＣ,順天堂大,静岡西高,ロプタ静岡,長田西サッカースポーツ少年団,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3058,杉田　将宏,Masahiro SUGITA,MF,1999/11/24,164,64,,,,,,,,,,,,,,,,,,,,,,
3059,杉野　健斗,Kento SUGINO,DF,1992/02/25,178,72,,,,,,,,,,,,,,,,,,,,,,
3060,杉野　伸太朗,Shintaro SUGINO,GK,2003/10/08,173,70,,,,,,,,,,,,,,,,,,,,,,
3061,杉野　太一朗,Taichiro SUGINO,GK,2003/02/05,176,70,,,,,,,,,,,,,,,,,,,,,,
3062,杉村　駿介,Shunsuke SUGIMURA,MF,2002/08/15,159,51,,,,,,,,,,,,,,,,,,,,,,
3063,杉本　圭,Kei SUGIMOTO,DF,1982/06/04,184,74,,,,,,,,,,,,,,,,,,,,,,
3064,杉本　恵太,Keita SUGIMOTO,FW,1982/06/13,173,70,,,,,,,,,,,,,,,,,,,,,,
3065,杉本　健勇,Kenyu SUGIMOTO,FW,1992/11/18,187,79,浦和レッズ,セレッソ大阪,川崎フロンターレ,セレッソ大阪,東京ヴェルディ,セレッソ大阪,セレッソ大阪Ｕ-１８,セレッソ大阪Ｕ-１５,ＦＣルイラモスヴェジット,-,-,-,-,-,-,-,-,-,-,-,-,-
3066,杉本　崇太朗,Sotaro SUGIMOTO,MF,1999/02/12,173,59,,,,,,,,,,,,,,,,,,,,,,
3067,杉本　大雅,Taiga SUGIMOTO,FW,2003/01/02,172,64,アスルクラロ沼津,アスルクラロ沼津Ｕ１８,アスルクラロ沼津Ｕ１５,大仁北SC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3068,杉本　拓也,Takuya SUGIMOTO,GK,1989/12/31,178,74,藤枝ＭＹＦＣ,ガイナーレ鳥取,日本大,藤枝明誠高,藤枝明誠ＳＣ,榛原ＦＣ,住吉ＳＳＳ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3069,杉本　太郎,Taro SUGIMOTO,MF,1996/02/12,162,62,アビスパ福岡,松本山雅ＦＣ,鹿島アントラーズ,徳島ヴォルティス,鹿島アントラーズ,徳島ヴォルティス,鹿島アントラーズ,帝京大可児高,岐阜ＶＡＭＯＳ,-,-,-,-,-,-,-,-,-,-,-,-,-
3070,杉本　大地,Daichi SUGIMOTO,GK,1993/07/15,187,83,ジュビロ磐田,横浜Ｆ・マリノス,京都サンガF.C.,徳島ヴォルティス,京都サンガF.C.,京都サンガF.C.Ｕ-１８,ヤマハジュビロ浜松,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3071,杉本　裕之,Hiroyuki SUGIMOTO,FW,1986/10/06,180,73,,,,,,,,,,,,,,,,,,,,,,
3072,杉本　真,Makoto SUGIMOTO,MF,1987/10/27,164,60,,,,,,,,,,,,,,,,,,,,,,
3073,杉本　雅央,Masao SUGIMOTO,MF,1967/06/26,167,64,,,,,,,,,,,,,,,,,,,,,,
3074,杉本　将哉,Masaya SUGIMOTO,GK,1998/08/11,185,80,,,,,,,,,,,,,,,,,,,,,,
3075,杉本　倫治,Michiharu SUGIMOTO,MF,1981/06/17,181,65,,,,,,,,,,,,,,,,,,,,,,
3076,杉本　光希,Mitsuki SUGIMOTO,GK,2001/08/17,181,75,,,,,,,,,,,,,,,,,,,,,,
3077,杉本　竜士,Ryuji SUGIMOTO,MF,1993/06/01,164,60,横浜ＦＣ,横浜Ｆ・マリノス,横浜ＦＣ,横浜Ｆ・マリノス,徳島ヴォルティス,名古屋グランパス,東京ヴェルディ,ＦＣ町田ゼルビア,東京ヴェルディ,東京ヴェルディユース,東京ヴェルディＪｒユース,府ロクＳＣ,-,-,-,-,-,-,-,-,-,-
3078,杉森　考起,Koki SUGIMORI,MF,1997/04/05,174,67,徳島ヴォルティス,名古屋グランパス,徳島ヴォルティス,名古屋グランパス,ＦＣ町田ゼルビア,名古屋グランパス,名古屋グランパスＵ１８,名古屋グランパスＵ１５,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3079,杉山　新,Arata SUGIYAMA,DF,1980/07/25,167,66,,,,,,,,,,,,,,,,,,,,,,
3080,杉山　弘一,Koichi SUGIYAMA,DF,1971/10/27,176,81,,,,,,,,,,,,,,,,,,,,,,
3081,杉山　浩太,Kota SUGIYAMA,MF,1985/01/24,177,68,,,,,,,,,,,,,,,,,,,,,,
3082,杉山　俊,Shun SUGIYAMA,MF,1998/04/26,174,63,,,,,,,,,,,,,,,,,,,,,,
3083,杉山　臣,Shin SUGIYAMA,MF,2002/04/18,178,67,,,,,,,,,,,,,,,,,,,,,,
3084,杉山　天真,Takamasa SUGIYAMA,DF,1998/06/26,174,68,,,,,,,,,,,,,,,,,,,,,,
3085,杉山　貴之,Takayuki SUGIYAMA,FW,1976/03/24,183,70,,,,,,,,,,,,,,,,,,,,,,
3086,杉山　琢也,Takuya SUGIYAMA,DF,1983/01/01,168,63,,,,,,,,,,,,,,,,,,,,,,
3087,杉山　弾斗,Danto SUGIYAMA,DF,1999/05/20,175,69,カマタマーレ讃岐,ジェフユナイテッド千葉,カマタマーレ讃岐,ジェフユナイテッド千葉,カターレ富山,ジェフユナイテッド千葉,市立船橋高,ＦＣ東京Ｕ-１５むさし,白百合ＳＣ,-,-,-,-,-,-,-,-,-,-,-,-,-
3088,杉山　哲,Tetsu SUGIYAMA,GK,1981/06/26,184,78,,,,,,,,,,,,,,,,,,,,,,
3089,杉山　直宏,Naohiro SUGIYAMA,MF,1998/09/07,176,69,ロアッソ熊本,順天堂大,大津高,アビスパ福岡Ｕ-１５,折尾ＦＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3090,杉山　力裕,Rikihiro SUGIYAMA,GK,1987/05/01,184,76,アビスパ福岡,清水エスパルス,川崎フロンターレ,静岡学園高,キューズＦＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3091,スクリーニャ,Vjekoslav SKRINJAR,MF,1969/06/02,172,67,,,,,,,,,,,,,,,,,,,,,,
3092,村主　博正,Hiromasa SUGURI,MF,1976/07/29,176,72,,,,,,,,,,,,,,,,,,,,,,
3093,菅野　孝憲,Takanori SUGENO,GK,1984/05/03,179,75,北海道コンサドーレ札幌,京都サンガF.C.,北海道コンサドーレ札幌,京都サンガF.C.,北海道コンサドーレ札幌,京都サンガF.C.,柏レイソル,横浜ＦＣ,東京ヴェルディ１９６９ユース,ヴェルディＪｒユース,-,-,-,-,-,-,-,-,-,-,-,-
3094,須崎　恭平,Kyohei SUZAKI,DF,1989/06/21,176,68,,,,,,,,,,,,,,,,,,,,,,
3095,鈴　直樹,Naoki SUZU,MF,2000/04/13,175,69,,,,,,,,,,,,,,,,,,,,,,
3096,鈴鹿　源太郎,Gentaro SUZUKA,DF,1986/08/10,168,70,,,,,,,,,,,,,,,,,,,,,,
3097,鈴木　暁登,Akito SUZUKI,GK,2005/03/07,197,70,,,,,,,,,,,,,,,,,,,,,,
3098,鈴木　朝日,Asahi SUZUKI,FW,1999/11/15,180,76,,,,,,,,,,,,,,,,,,,,,,
3099,鈴木　彩貴,Ayaki SUZUKI,GK,1987/04/13,184,80,,,,,,,,,,,,,,,,,,,,,,
3100,鈴木　一朗,Ichiro SUZUKI,DF,1995/08/01,177,69,,,,,,,,,,,,,,,,,,,,,,
3101,鈴木　魁人,Kaito SUZUKI,FW,1999/08/16,175,68,,,,,,,,,,,,,,,,,,,,,,
3102,鈴木　海音,Kaito SUZUKI,DF,2002/08/25,182,72,ジュビロ磐田,ジュビロ磐田Ｕ-１８,ジュビロ磐田Ｕ-１５,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3103,鈴木　和裕,Kazuhiro SUZUKI,DF,1976/11/16,176,72,,,,,,,,,,,,,,,,,,,,,,
3104,鈴木　勝大,Katsuhiro SUZUKI,MF,1977/11/26,174,70,,,,,,,,,,,,,,,,,,,,,,
3105,鈴木　克美,Katsumi SUZUKI,GK,1969/04/21,182,72,,,,,,,,,,,,,,,,,,,,,,
3106,鈴木　国友,Kunitomo SUZUKI,FW,1995/07/03,186,77,松本山雅ＦＣ,湘南ベルマーレ,ギラヴァンツ北九州,湘南ベルマーレ,ガイナーレ鳥取,湘南ベルマーレ,桐蔭横浜大,相洋高,湘南ベルマーレＵ-１５小田原,酒匂サッカースポーツ少年団,-,-,-,-,-,-,-,-,-,-,-,-
3107,鈴木　奎吾,Keigo SUZUKI,MF,2003/07/13,173,62,,,,,,,,,,,,,,,,,,,,,,
3108,鈴木　啓太,Keita SUZUKI,MF,1981/07/08,177,72,,,,,,,,,,,,,,,,,,,,,,
3109,鈴木　拳士郎,Kenshiro SUZUKI,MF,1996/03/20,177,75,アスルクラロ沼津,カマタマーレ讃岐,関西大,ジュビロ磐田Ｕ-１８,ＡＣＮジュビロ沼津,アスルクラロ沼津Ｕ１２,愛鷹サッカースポーツ少年団,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3110,鈴木　健児,Kenji SUZUKI,MF,1986/09/03,180,70,,,,,,,,,,,,,,,,,,,,,,
3111,鈴木　健太,Kenta SUZUKI,MF,1985/09/16,175,69,,,,,,,,,,,,,,,,,,,,,,
3112,鈴木　健太郎,Kentaro SUZUKI,DF,1980/06/02,177,71,,,,,,,,,,,,,,,,,,,,,,
3113,鈴木　孝司,Koji SUZUKI,FW,1989/07/25,179,74,アルビレックス新潟,セレッソ大阪,ＦＣ琉球,ＦＣ町田ゼルビア,法政大,桐光学園高,横浜Ｆ・マリノスＪｒユース追浜,初声ジュニアＦＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3114,鈴木　浩介,Kosuke SUZUKI,FW,1981/06/16,180,72,,,,,,,,,,,,,,,,,,,,,,
3115,鈴木　厚太,Kota SUZUKI,FW,1997/05/02,172,66,アスルクラロ沼津,専修大,飛龍高,ＡＣＮジュビロ沼津,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3116,鈴木　悟,Satoru SUZUKI,DF,1975/07/19,181,75,,,,,,,,,,,,,,,,,,,,,,
3117,鈴木　彩艶,Zion SUZUKI,GK,2002/08/21,189,91,浦和レッズ,浦和レッズユース,浦和レッズＪｒユース,浦和レッズジュニア,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3118,鈴木　修人,Shuto SUZUKI,MF,1985/08/31,171,67,,,,,,,,,,,,,,,,,,,,,,
3119,鈴木　俊,Shun SUZUKI,DF,1974/04/29,174,65,,,,,,,,,,,,,,,,,,,,,,
3120,鈴木　駿之助,Shunnosuke SUZUKI,MF,2000/06/09,176,68,,,,,,,,,,,,,,,,,,,,,,
3121,鈴木　俊也,Shunya SUZUKI,DF,2000/11/24,178,73,大宮アルディージャ,早稲田大在学中,早稲田実業高,ＦＣ東京Ｕ-１５深川,フレンドリーＳＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3122,鈴木　将太,Shota SUZUKI,MF,1984/07/03,171,65,,,,,,,,,,,,,,,,,,,,,,
3123,鈴木　翔太,Shota SUZUKI,DF,1996/11/21,179,74,藤枝ＭＹＦＣ,東京学芸大,清水エスパルスユース,清水エスパルスＪｒユース,高洲南サッカースポーツ少年団,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3124,鈴木　翔登,Shoto SUZUKI,DF,1992/10/16,184,77,カターレ富山,ロアッソ熊本,ギラヴァンツ北九州,ロアッソ熊本,流通経済大,流通経済大付属柏高,坂戸ディプロマッツ,川越福原ＳＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3125,鈴木　慎吾,Shingo SUZUKI,MF,1978/03/20,168,63,,,,,,,,,,,,,,,,,,,,,,
3126,鈴木　淳,Jun SUZUKI,FW,1987/09/12,168,62,,,,,,,,,,,,,,,,,,,,,,
3127,鈴木　惇,Jun SUZUKI,MF,1989/04/22,170,68,藤枝ＭＹＦＣ,アビスパ福岡,大分トリニータ,アビスパ福岡,東京ヴェルディ,アビスパ福岡,アビスパ福岡Ｕ-１８,アビスパ福岡Ｕ-１５,アビスパ福岡Ｕ-１２,湊坂ＦＣ,-,-,-,-,-,-,-,-,-,-,-,-
3128,鈴木　潤,Jun SUZUKI,DF,1993/07/30,178,71,,,,,,,,,,,,,,,,,,,,,,
3129,鈴木　順也,Junya SUZUKI,DF,1996/05/02,182,78,ガイナーレ鳥取,ザスパクサツ群馬,立正大,桐生第一高,ウイングス鹿沼ＳＣ,本郷北ＦＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
